"","Gene","RE22","BAA_450"
"38","ParA-like protein",1,1
"39","CheW domain protein",1,1
"40","Positive regulator of CheA protein activity (CheW)",1,1
"41","ATPase involved in DNA repair",1,1
"42","ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA",1,1
"43","ABC transporter involved in cytochrome c biogenesis, CcmB subunit",1,1
"44","Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE",1,1
"45","Cytochrome c-type biogenesis protein CcmD, interacts with CcmCE",1,1
"46","Cytochrome c-type biogenesis protein CcmE, heme chaperone",1,1
"47","Cytochrome c heme lyase subunit CcmF",1,1
"48","Cytochrome c-type biogenesis protein CcmG/DsbE, thiol:disulfide oxidoreductase",1,1
"49","Cytochrome c heme lyase subunit CcmL",1,1
"50","Cytochrome c heme lyase subunit CcmH",1,1
"51","Outer-membrane-phospholipid-binding lipoprotein MlaA",1,1
"52","Long-chain fatty acid transport protein",1,1
"53","FIG01199930: hypothetical protein",1,1
"54","RNA polymerase ECF-type sigma factor",1,1
"55","3-ketoacyl-CoA thiolase (EC 2.3.1.16)",1,1
"56","Enoyl-CoA hydratase (EC 4.2.1.17) / Delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase (EC 5.3.3.8) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)",1,1
"57","Putative NAD(P)H nitroreductase YdjA",1,1
"58","Transcriptional regulator, LysR family",1,1
"59","Two-component transcriptional response regulator, LuxR family",1,1
"60","Uncharacterized protein SO_2010",1,1
"61","Hypothetical protein DUF454",1,1
"62","Adenine phosphoribosyltransferase (EC 2.4.2.7)",1,1
"63","DNA polymerase III subunits gamma and tau (EC 2.7.7.7)",1,1
"64","Nucleoid-associated protein YaaK",1,1
"65","Recombination protein RecR",1,1
"66","Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9) / Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)",1,1
"67","tRNA-Arg-TCT",1,1
"68","UPF0061 protein YdiU",1,1
"69","DNA-binding response regulator GltR",1,1
"70","Integral membrane sensor signal transduction histidine kinase (EC 2.7.13.3), glucose catabolism cluster",1,1
"71","ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)",1,1
"72","ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)",1,1
"73","ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)",1,1
"74","Glucose ABC transporter, ATP-binding subunit (EC 3.6.3.-)",1,1
"75","TRAP-type C4-dicarboxylate transport system, periplasmic component",1,1
"76","TRAP-type transport system, small permease component, predicted N-acetylneuraminate transporter",1,1
"77","TRAP-type C4-dicarboxylate transport system, large permease component",1,1
"78","FIG01210445: hypothetical protein",1,1
"79","Two component, Sigma-54 Specific, central transcriptional regulator of acidic amino acid uptake",1,1
"80","Signal transduction histidine kinase regulating C4-dicarboxylate transport system",1,1
"81","Cell division trigger factor (EC 5.2.1.8)",1,1
"82","ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)",1,1
"83","ATP-dependent Clp protease ATP-binding subunit ClpX",1,1
"84","ATP-dependent protease La (EC 3.4.21.53) Type I",1,1
"85","DNA-binding protein HU-beta",1,1
"86","Peptidyl-prolyl cis-trans isomerase PpiD (EC 5.2.1.8)",1,1
"87","DNA uptake protein",1,1
"88","Cytidylate kinase (EC 2.7.4.25)",1,1
"89","SSU ribosomal protein S1p",1,1
"90","Integration host factor beta subunit",1,1
"91","Membrane protein",1,1
"92","Lipopolysaccharide assembly protein LapB",1,1
"93","Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)",1,1
"94","tRNA-(ms[2]io[6]A)-hydroxylase",1,1
"95","Cys regulon transcriptional activator CysB",1,1
"96","SAM-dependent methyltransferase",1,1
"97","ABC transporter, substrate-binding protein (cluster 15, trp?)",1,1
"98","ABC transporter, permease protein (cluster 15, trp?)",1,1
"99","ABC transporter, ATP-binding protein (cluster 15, trp?)",1,1
"100","GGDEF domain protein",1,1
"101","tRNA-dihydrouridine(16) synthase",1,1
"102","FIG01205353: hypothetical protein",1,1
"103","Protein of unknown function VC1106",1,1
"104","Outer membrane lipoprotein carrier protein LolA",1,1
"105","Replication-associated recombination protein RarA",1,1
"106","Seryl-tRNA synthetase (EC 6.1.1.11)",1,1
"107","Putative membrane protein precursor",1,1
"108","L-asparaginase I, cytoplasmic (EC 3.5.1.1)",1,1
"109","Signal peptide peptidase SppA (protease 4)",1,1
"110","2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)",1,1
"111","Formyltetrahydrofolate deformylase (EC 3.5.1.10)",1,1
"112","FIG01200733: hypothetical protein",1,1
"113","DinG family ATP-dependent helicase YoaA",1,1
"114","tRNA threonylcarbamoyladenosine biosynthesis protein TsaB",1,1
"115","Chromosome segregation ATPase",1,1
"116","Starvation lipoprotein Slp paralog",1,1
"117","Predicted hydrolase/acyltransferase",1,1
"118","Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1,1
"119","Ribonuclease D (EC 3.1.26.3)",1,1
"120","Sulfate permease",1,1
"121","Ribonuclease E (EC 3.1.26.12)",1,1
"122","LSU rRNA pseudouridine(955/2504/2580) synthase (EC 5.4.99.24)",1,1
"123","Maf-like protein YceF",1,1
"124","FIG01269488: protein, clustered with ribosomal protein L32p",1,1
"125","LSU ribosomal protein L32p @ LSU ribosomal protein L32p, zinc-independent",1,1
"126","Phosphate:acyl-ACP acyltransferase PlsX (EC 2.3.1.n2)",1,1
"127","3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)",1,1
"128","Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)",1,1
"129","3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100), FadG",1,1
"130","Acyl carrier protein",1,1
"131","3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",1,1
"132","Aminodeoxychorismate lyase (EC 4.1.3.38)",1,1
"133","Murein endolytic transglycosylase MltG",1,1
"134","Thymidylate kinase (EC 2.7.4.9)",1,1
"135","DNA polymerase III delta prime subunit (EC 2.7.7.7)",1,1
"136","Uncharacterized metal-dependent hydrolase YcfH",1,1
"137","PTS system, glucose-specific IIC component / PTS system, glucose-specific IIB component (EC 2.7.1.199)",1,1
"138","FIG01201055: hypothetical protein",1,0
"139","Sodium-dependent transporter, SNF family",1,1
"140","FIG01200153: hypothetical protein",1,1
"141","FIG01200677: hypothetical protein",1,1
"142","Predicted esterase of the alpha-beta hydrolase superfamily",1,1
"143","Pyruvate kinase (EC 2.7.1.40)",1,1
"144","Mlc, transcriptional repressor of MalT (the transcriptional activator of maltose regulon) and manXYZ operon",1,1
"145","Chemotaxis protein CheV (EC 2.7.3.-)",1,1
"146","Error-prone repair homolog of DNA polymerase III alpha subunit (EC 2.7.7.7)",1,1
"147","DNA polymerase-like protein PA0670",1,1
"148","RecA/RadA recombinase",1,1
"149","Putative oxidoreductase",1,1
"150","Possible protease sohB (EC 3.4.21.-)",1,1
"151","ATP-dependent RNA helicase RhlE (EC 3.6.4.13)",1,1
"152","Rhombosortase",1,1
"153","Uncharacterized conserved protein YfiP, contains DTW domain",1,1
"154","Adenosine deaminase (EC 3.5.4.4)",1,1
"155","Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)",1,1
"156","Chitinase (EC 3.2.1.14)",1,1
"157","5'-deoxynucleotidase YfbR (EC 3.1.3.89)",1,1
"158","Alanine transaminase (EC 2.6.1.2)",1,1
"159","Isochorismate synthase (EC 5.4.4.2) @ Menaquinone-specific isochorismate synthase (EC 5.4.4.2)",1,1
"160","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)",1,1
"161","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)",1,1
"162","Naphthoate synthase (EC 4.1.3.36)",1,1
"163","O-succinylbenzoate synthase (EC 4.2.1.113)",1,1
"164","O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)",1,1
"165","FIG01202125: hypothetical protein",1,1
"166","Putative membrane protein YeiH",1,1
"167","Lysophospholipid transporter LplT / 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40)",1,1
"168","Transcriptional regulator, AcrR family",1,1
"169","protein of unknown function DUF1244",1,1
"170","Pyridoxal-5'-phosphate-dependent enzyme beta superfamily (fold type II)",1,1
"171","DNA-binding transcriptional activator DecR, AsnC family",1,1
"172","Class A beta-lactamase (EC 3.5.2.6)",1,1
"173","Acyl-CoA thioesterase II (EC 3.1.2.-)",1,1
"174","Lipoprotein-related protein",1,1
"175","DNA base-flipping protein",1,1
"176","FIG01200141: hypothetical protein",1,1
"177","FIG01201004: hypothetical protein",1,1
"178","Transcriptional regulator, IclR family",1,1
"179","Phosphate acetyltransferase (EC 2.3.1.8)",1,1
"180","Integral membrane protein",1,1
"181","Aerobic cobaltochelatase CobT subunit (EC 6.6.1.2)",1,1
"182","Aerobic cobaltochelatase CobS subunit (EC 6.6.1.2)",1,1
"183","Sulfoacetaldehyde acetyltransferase (EC 2.3.3.15)",1,1
"184","Sulphite exporter CyuZ",1,1
"185","FIG01201457: hypothetical protein",1,1
"186","Ketosteroid isomerase-related protein",1,1
"187","FAD-dependent oxidoreductase",1,1
"188","ABC-type amino acid transport/signal transduction system, periplasmic component/domain",1,1
"189","Putative hydroxymethyltransferase",1,1
"190","beta-N-acetylglucosaminidase (EC 3.2.1.52)",1,1
"191","Protein YzbB",1,1
"192","UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)",1,1
"193","Type II secretory pathway, ATPase PulE/Tfp pilus assembly pathway, ATPase PilB",1,1
"194","Chitin binding protein",1,1
"195","Protease II",1,1
"196","Vibriolysin, extracellular zinc protease (EC 3.4.24.25) @ Pseudolysin, extracellular zinc protease (EC 3.4.24.26)",1,1
"197","ABC transporter, RND-adapter-like protein",1,1
"198","Type I secretion outer membrane protein, TolC family",1,1
"199","ABC-type antimicrobial peptide transport system, permease component",1,1
"200","ABC-type antimicrobial peptide transport system, ATPase component",1,1
"201","Putative membrane-bound ClpP-class protease associated with aq_911",1,1
"202","Putative stomatin/prohibitin-family membrane protease subunit aq_911",1,1
"203","Spindolin-related protein",1,1
"204","N-acetylglucosamine regulated methyl-accepting chemotaxis protein",1,1
"205","Cold-active serine alkaline protease",1,1
"206","Bacterial leucyl aminopeptidase precursor (EC 3.4.11.10)",1,1
"207","Methyl-accepting chemotaxis protein",1,1
"208","Glutamate decarboxylase",1,1
"209","Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)",1,1
"210","Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)",1,1
"211","Oligopeptide ABC transporter, permease protein OppB (TC 3.A.1.5.1)",1,1
"212","Oligopeptide ABC transporter, permease protein OppC (TC 3.A.1.5.1)",1,1
"213","Oligopeptide ABC transporter, ATP-binding protein OppD (TC 3.A.1.5.1)",1,1
"214","Oligopeptide ABC transporter, ATP-binding protein OppF (TC 3.A.1.5.1)",1,1
"215","Glutathione S-transferase, omega (EC 2.5.1.18)",1,1
"216","BioD-like N-terminal domain / Phosphate acetyltransferase (EC 2.3.1.8)",1,1
"217","Acetate kinase (EC 2.7.2.1)",1,1
"218","UPF0208 membrane protein YfbV",1,1
"219","Alanine dehydrogenase (EC 1.4.1.1)",1,1
"220","Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system",1,1
"221","DNA translocase FtsK",1,1
"222","Periplasmic thiol:disulfide oxidoreductase DsbB, required for DsbA reoxidation",1,1
"223","Na+/H+ antiporter NhaB",1,1
"224","Transcriptional regulator for fatty acid degradation FadR, GntR family",1,1
"225","FIG01199829: hypothetical protein",1,1
"226","Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)",1,1
"227","YcfF/hinT protein: a purine nucleoside phosphoramidase",1,1
"228","YcfL protein: an outer membrane lipoprotein that is part of a salvage cluster",1,1
"229","Lipoprotein YcfM, part of a salvage pathway of unknown substrate",1,1
"230","Thiamine kinase (EC 2.7.1.89) @ Adenosylcobinamide kinase (EC 2.7.1.156)",1,1
"231","YcfP protein: probably an esterase that is part of a salvage cluster",1,1
"232","NADH dehydrogenase (EC 1.6.99.3)",1,1
"233","Acetyltransferase, GNAT family",1,1
"234","FIG01200265: hypothetical protein",1,1
"235","Transcription-repair coupling factor",1,1
"236","FIG01200287: hypothetical protein",1,1
"237","Lipoprotein releasing system transmembrane protein LolC",1,1
"238","Lipoprotein-releasing system ATP-binding protein LolD",1,1
"239","Lipoprotein releasing system transmembrane protein LolE",1,1
"240","FIG01199889: hypothetical protein",1,1
"241","DNA internalization-related competence protein ComEC/Rec2",1,1
"242","Lipid A export permease/ATP-binding protein MsbA",1,1
"243","Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)",1,1
"244","FIG002473: Protein YcaR in KDO2-Lipid A biosynthesis cluster",1,1
"245","3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)",1,1
"246","FIG004684: SpoVR-like protein",1,1
"247","UPF0229 protein YeaH",1,1
"248","Uncharacterized protein YeaG",1,1
"249","MltA-interacting MipA family protein",1,1
"250","FIG01200101: hypothetical protein",1,1
"251","Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)",1,1
"252","FIG01200071: hypothetical protein",1,1
"253","Pyruvate formate-lyase (EC 2.3.1.54)",1,1
"254","Arginine/ornithine ABC transporter, ATP-binding protein AotP",1,1
"255","Lysine-arginine-ornithine-binding ABC transporter, substrate-binding protein ArgT (TC 3.A.1.3.1)",1,1
"256","Arginine/ornithine ABC transporter, permease protein AotQ",1,1
"257","Histidine ABC transporter, permease protein HisM (TC 3.A.1.3.1)",1,1
"258","Putative transport protein YbjL",1,1
"259","Glutaredoxin 1",1,1
"260","Phage integrase",1,1
"261","Phage repressor protein cI",1,0
"262","Iron-containing alcohol dehydrogenase (EC 1.1.1.1)",1,1
"263","Phosphogluconate repressor HexR, RpiR family",1,1
"264","Glutamate decarboxylase, eukaryotic type (EC 4.1.1.15)",1,1
"265","FIG01199945: hypothetical protein",1,1
"266","Lysine exporter LysO",1,1
"267","Predicted signal transduction protein",1,1
"268","Regulator of competence-specific genes",1,1
"269","FIG01199724: hypothetical protein",1,1
"270","Response regulator",1,1
"271","Two-component system sensor histidine kinase",1,1
"272","FIG01200125: hypothetical protein",1,1
"273","Phosphoserine aminotransferase (EC 2.6.1.52)",1,1
"274","UPF0313 [4Fe-4S] protein YgiQ",1,1
"275","FIG01200621: hypothetical protein",1,1
"276","FIG01200578: hypothetical protein",1,1
"277","Uncharacterized protein VC1707",1,1
"278","Transcriptional activator MetR",1,1
"279","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)",1,1
"280","Organic hydroperoxide resistance protein",1,1
"281","Organic hydroperoxide resistance transcriptional regulator",1,1
"282","Oxidoreductase",1,1
"283","Periplasmic thiol:disulfide interchange protein DsbA",1,1
"284","Methyl-accepting chemotaxis sensor/transducer protein",1,1
"285","4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein",1,1
"286","Transcriptional regulator, AraC family",1,1
"287","Fatty acid hydroxylase family (carotene hydroxylase/sterol desaturase)",1,1
"288","Ornithine utilization regulator",1,1
"289","Cytochrome c551 peroxidase (EC 1.11.1.5)",1,1
"290","putative oxygenase subunit",1,1
"291","DnaK-related protein",1,1
"292","FIG01199775: hypothetical protein",1,1
"293","FIG01200668: hypothetical protein",1,1
"294","FIG01199598: hypothetical protein",1,1
"295","putative outer membrane protein A",1,1
"296","ATP-dependent helicase HrpA",1,1
"297","Mobile element protein",1,1
"298","Predicted transcriptional regulator",1,1
"299","Proton/glutamate symporter @ Sodium/glutamate symporter",1,1
"300","Tryptophan synthase alpha chain (EC 4.2.1.20)",1,1
"301","Tryptophan synthase beta chain (EC 4.2.1.20)",1,1
"302","Indole-3-glycerol phosphate synthase (EC 4.1.1.48) / Phosphoribosylanthranilate isomerase (EC 5.3.1.24)",1,1
"303","Anthranilate phosphoribosyltransferase (EC 2.4.2.18)",1,1
"304","Anthranilate synthase, amidotransferase component (EC 4.1.3.27)",1,1
"305","Anthranilate synthase, aminase component (EC 4.1.3.27)",1,1
"306","Trp operon leader peptide",1,1
"307","FIG00031715: Predicted metal-dependent phosphoesterases (PHP family)",1,1
"308","YciO protein, TsaC/YrdC paralog",1,1
"309","Protein containing plastocyanin/azurin family domain",1,1
"310","c-di-GMP phosphodiesterase (EC 3.1.4.52)",1,1
"311","LSU rRNA pseudouridine(2605) synthase (EC 5.4.99.22)",1,1
"312","Phenazine biosynthesis protein PhzF like",1,1
"313","Transcriptional regulator YidZ, LysR family",1,1
"314","Multidrug efflux pump MdtL (of MFS type)",1,1
"315","Efflux ABC transporter for glutathione/L-cysteine, essential for assembly of bd-type respiratory oxidases => CydC subunit",1,1
"316","Efflux ABC transporter for glutathione/L-cysteine, essential for assembly of bd-type respiratory oxidases => CydD subunit",1,1
"317","Thioredoxin reductase (EC 1.8.1.9)",1,1
"318","FIG010427: hypothetical protein",1,1
"319","Cysteine desulfurase (EC 2.8.1.7)",1,1
"320","dioxygenase, TauD/TfdA family",1,1
"321","diguanylate cyclase (GGDEF domain)",1,1
"322","SanA protein",1,1
"323","FIG01200226: hypothetical protein",1,1
"324","NAD-dependent malic enzyme (EC 1.1.1.38)",1,1
"325","HrpA-like helicase",1,1
"326","Uncharacterized protein VC1189",1,1
"327","FIG01201079: hypothetical protein",1,1
"328","Aspartate aminotransferase (EC 2.6.1.1)",1,1
"329","FIG01199869: hypothetical protein",1,1
"330","DNA-binding transcriptional regulator, MocR family / aminotransferase domain",1,1
"331","FIG01201502: hypothetical protein",1,1
"332","Asparaginyl-tRNA synthetase (EC 6.1.1.22)",1,1
"333","Tyrosine-specific transport protein",1,1
"334","Sensory box/GGDEF family protein",1,1
"335","L-serine dehydratase, beta subunit (EC 4.3.1.17) / L-serine dehydratase, alpha subunit (EC 4.3.1.17)",1,1
"336","Serine transporter",1,1
"337","Uncharacterized Nudix hydrolase NudL",1,1
"338","Guanylate cyclase-related protein",1,1
"339","Probable sensor/response regulator hybrid",1,1
"340","Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)",1,1
"341","Fumarate hydratase class I, aerobic (EC 4.2.1.2)",1,1
"342","Conserved protein YcjX with nucleoside triphosphate hydrolase domain",1,1
"343","Membrane protein YcjF",1,1
"344","Transcriptional repressor protein TyrR",1,1
"345","Ribosomal-protein-S5p-alanine acetyltransferase (EC 2.3.1.128)",1,1
"346","Uncharacterized hydrolase DSY2054",1,1
"347","FIG01200791: hypothetical protein",1,1
"348","FIG00933538: hypothetical protein",1,1
"349","FIG01200906: hypothetical protein",1,1
"350","GTP cyclohydrolase II (EC 3.5.4.25)",1,1
"351","Iron-regulated protein A precursor",1,1
"352","Probable thiol oxidoreductase with 2 cytochrome c heme-binding sites",1,1
"353","L,D-transpeptidase YcbB",1,1
"354","FIG001587: exported protein",1,1
"355","Hypothetical metal-binding enzyme, YcbL homolog",1,1
"356","FIG01199633: hypothetical protein",1,1
"357","FIG01199550: hypothetical protein",1,1
"358","TRAP transporter solute receptor, unknown substrate 6",1,1
"359","TRAP dicarboxylate transporter, DctQ subunit, unknown substrate 6",1,1
"360","TRAP dicarboxylate transporter, DctM subunit, unknown substrate 6",1,1
"361","FIG01207159: hypothetical protein",1,1
"362","DNA protection during starvation protein",1,1
"363","Arginine/ornithine antiporter ArcD",1,1
"364","Uncharacterized inner membrane protein RarD",1,1
"365","Acetyltransferase",1,1
"366","COG0662: Mannose-6-phosphate isomerase",1,0
"367","Gfa-like protein",1,1
"368","FIG01207016: hypothetical protein",1,0
"369","blasticidin S deaminase, putative",1,1
"370","ISSod13, transposase",1,0
"371","FIG032766: hypothetical protein",1,0
"372","Isochorismatase (EC 3.3.2.1)",1,1
"373","Protein of unknown function DUF81, type 2",1,1
"374","Attachment to host cells and virulence",1,1
"375","Oxidoreductase, short-chain dehydrogenase/reductase family",1,1
"376","Protein PhnA",1,1
"377","Lipocalin Blc",1,1
"378","Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)",1,1
"379","Nucleoprotein/polynucleotide-associated enzyme",1,1
"380","Bsu YqfO NIF3/CutA domain",1,0
"381","Acetyltransferase, including N-acetylase of ribosomal protein",1,1
"382","Histone acetyltransferase HPA2 and related acetyltransferases",1,1
"383","Uncharacterized NAD(P)H oxidoreductase, YdeQ/YrkL/YwrO family",1,1
"384","putative acetyltransferase [EC:2.3.1.-] [KO:K03830]",1,1
"385","hypothetical hydrophilic protein",1,1
"386","Ferrichrome-binding protein",1,1
"387","Beta-phosphoglucomutase (EC 5.4.2.6)",1,1
"388","Uncharacterized peptidase YqjE",1,1
"389","4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)",1,1
"390","Homogentisate 1,2-dioxygenase (EC 1.13.11.5)",1,1
"391","Fumarylacetoacetase (EC 3.7.1.2)",1,1
"392","Maleylacetoacetate isomerase (EC 5.2.1.2) @ Glutathione S-transferase, zeta (EC 2.5.1.18)",1,1
"393","FIG01199901: hypothetical protein",1,1
"394","FIG01201011: hypothetical protein",1,1
"395","Probable lipoprotein YiaD",1,1
"396","FIG01199672: hypothetical protein",1,1
"397","Uncharacterized protein YdiJ",1,1
"398","Putative protein-S-isoprenylcysteine methyltransferase",1,1
"399","FIG01199954: hypothetical protein",1,1
"400","Histidine ammonia-lyase (EC 4.3.1.3)",1,1
"401","Urocanate hydratase (EC 4.2.1.49)",1,1
"402","Formiminoglutamase (EC 3.5.3.8)",1,1
"403","Imidazolonepropionase (EC 3.5.2.7)",1,1
"404","Histidine utilization repressor",1,1
"405","putative SpoOM-related protein",1,1
"406","FIG01199745: hypothetical protein",1,1
"407","FIG01199915: hypothetical protein",1,1
"408","Thiopurine S-methyltransferase (EC 2.1.1.67)",1,1
"409","Formate-dependent phosphoribosylglycinamide formyltransferase",1,1
"410","HD-domain protein",1,1
"411","Cytidine deaminase (EC 3.5.4.5)",1,1
"412","Inner membrane protein YohK",1,1
"413","UPF0299 membrane protein YohJ",1,1
"414","Exodeoxyribonuclease I (EC 3.1.11.1)",1,1
"415","L-cystine uptake protein TcyP, sodium:anion symporter family",1,1
"416","Predicted nucleoside-diphosphate-sugar epimerases",1,1
"417","FIG01201788: hypothetical protein",1,1
"418","Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)",1,1
"419","Cobalamin synthase (EC 2.7.8.26)",1,1
"420","Adenosylcobinamide kinase (EC 2.7.1.156) / Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)",1,1
"421","Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73)",1,1
"422","Oligoendopeptidase F-like protein",1,1
"423","Succinylglutamate desuccinylase (EC 3.5.1.96)",1,1
"424","Vitamin B12 ABC transporter, permease protein BtuC",1,1
"425","Vitamin B12 ABC transporter, ATP-binding protein BtuD",1,1
"426","intracellular signaling protein (PAS,GAF,GGDEF domains)",1,1
"427","Uncharacterized MFS-type transporter",1,1
"428","Putative molybdenum transport ATP-binding protein modF",1,1
"429","ABC transporter, substrate-binding protein (cluster 4, leucine/isoleucine/valine/benzoate)",1,1
"430","Glutaredoxin",1,1
"431","UTP pyrophosphatase (EC 3.6.1.9)",1,1
"432","23S rRNA (adenine(1618)-N(6))-methyltransferase (EC 2.1.1.181)",1,1
"433","FIG01199831: hypothetical protein",1,1
"434","Type IV pilus (Tfp) assembly protein PilF",1,1
"435","Hydrolase, alpha/beta fold family",1,1
"436","Homoserine O-succinyltransferase (EC 2.3.1.46)",1,1
"437","Predicted kinase",1,1
"438","Rtn protein",1,1
"439","Efflux ABC transporter, permease protein",1,1
"440","Domain of unknown function / Efflux ABC transporter, permease protein",1,1
"441","Membrane fusion component of tripartite multidrug efflux system",1,1
"442","Efflux transport system, outer membrane factor (OMF) lipoprotein",1,1
"443","Tripartite tricarboxylate transporter TctA family",1,1
"444","Tripartite tricarboxylate transporter TctB family",1,1
"445","Tripartite tricarboxylate transporter TctC family",1,1
"446","T6SS component TssM (IcmF/VasK)",1,1
"447","T6SS outer membrane component TssL (ImpK/VasF) / OmpA/MotB domain",1,1
"448","T6SS component TssK (ImpJ/VasE)",1,1
"449","T6SS secretion lipoprotein TssJ (VasD)",1,1
"450","T6SS forkhead associated domain protein ImpI/VasC",1,1
"451","putative inner membrane transport protein",1,1
"452","T6SS AAA+ chaperone ClpV (TssH)",1,1
"453","T6SS component TssG (ImpH/VasB)",1,1
"454","T6SS component TssF (ImpG/VasA)",1,1
"455","T6SS lysozyme-like component TssE",1,1
"456","T6SS component TssC (ImpC/VipB)",1,1
"457","T6SS component TssB (ImpB/VipA)",1,1
"458","T6SS component Hcp",1,1
"459","T6SS component TssA (ImpA)",1,1
"460","T6SS PAAR-repeat protein",1,1
"461","VgrG protein",1,1
"462","Propionate catabolism operon transcriptional regulator of GntR family",1,1
"463","Methylisocitrate lyase (EC 4.1.3.30)",1,1
"464","2-methylcitrate synthase (EC 2.3.3.5)",1,1
"465","2-methylcitrate dehydratase (2-methyl-trans-aconitate forming) (EC 4.2.1.117)",1,1
"466","2-methylaconitate isomerase",1,1
